epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2349.98,1.72242,1.42392,0.95781,0.28519,0.23352,0.18248,0.09877,1.66021,1.31762,0.9469,0.000237706,0.000237706,0.000237706
2,4885.54,1.72319,1.40383,0.95621,0.24875,0.23067,0.16672,0.08881,1.69453,1.3699,0.95024,0.000452158,0.000452158,0.000452158
3,9767.96,1.73191,1.39767,0.9581,0.36465,0.2336,0.17506,0.09243,1.71543,1.37296,0.94986,0.000643049,0.000643049,0.000643049
4,13398.9,1.73433,1.37761,0.95676,0.30049,0.24093,0.1904,0.1045,1.65112,1.28451,0.94205,0.000607971,0.000607971,0.000607971
5,16838.3,1.70402,1.33478,0.95053,0.31685,0.27001,0.21536,0.11737,1.60419,1.23454,0.93148,0.000572628,0.000572628,0.000572628
6,19379.3,1.6881,1.31666,0.94553,0.32375,0.25936,0.21158,0.1177,1.59109,1.22038,0.92682,0.000537285,0.000537285,0.000537285
7,22781.9,1.67974,1.29051,0.94375,0.34239,0.27143,0.223,0.12084,1.58254,1.21322,0.92761,0.000501942,0.000501942,0.000501942
8,26466.9,1.66877,1.2657,0.93803,0.36909,0.26887,0.23374,0.12781,1.58018,1.18431,0.93086,0.000466599,0.000466599,0.000466599
9,28347.9,1.65543,1.25743,0.93726,0.35918,0.27556,0.23419,0.12973,1.55803,1.17118,0.92262,0.000431256,0.000431256,0.000431256
10,30329.8,1.63385,1.23028,0.93204,0.34853,0.28202,0.23624,0.13188,1.54576,1.15685,0.91988,0.000395913,0.000395913,0.000395913
11,32134.3,1.58645,1.20322,0.93474,0.35274,0.29495,0.24421,0.13551,1.5465,1.17961,0.92252,0.00036057,0.00036057,0.00036057
12,33908,1.56464,1.17231,0.92943,0.36607,0.28688,0.24685,0.13735,1.53778,1.15238,0.91977,0.000325227,0.000325227,0.000325227
13,35691.3,1.55619,1.1569,0.9269,0.36968,0.28174,0.24591,0.13513,1.55166,1.15147,0.92143,0.000289884,0.000289884,0.000289884
14,37469,1.54257,1.13581,0.92367,0.3796,0.29085,0.2487,0.13766,1.54019,1.14434,0.91785,0.000254541,0.000254541,0.000254541
15,39240.1,1.53023,1.12521,0.92265,0.37958,0.28847,0.25643,0.14207,1.52372,1.12826,0.91796,0.000219198,0.000219198,0.000219198
16,41048.2,1.52776,1.11202,0.91784,0.38393,0.29235,0.25814,0.14184,1.5365,1.12919,0.91707,0.000183855,0.000183855,0.000183855
17,42884.3,1.52096,1.10476,0.91674,0.38018,0.29657,0.26082,0.14517,1.51729,1.1121,0.91383,0.000148512,0.000148512,0.000148512
18,44713.9,1.51347,1.08952,0.91501,0.3879,0.29739,0.26349,0.14721,1.51298,1.11051,0.91243,0.000113169,0.000113169,0.000113169
19,46542.7,1.50868,1.0818,0.91235,0.39265,0.30026,0.26622,0.14864,1.50371,1.09907,0.90945,7.7826e-05,7.7826e-05,7.7826e-05
20,48360.8,1.49378,1.06848,0.91175,0.3864,0.30543,0.26404,0.14714,1.5005,1.09849,0.90999,4.2483e-05,4.2483e-05,4.2483e-05
